price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,yr_sold,eff_built
221900.0,3,1,1180.0,5650.0,1,0.0,0,3,7,1180.0,0.0,1955.0,0.0,47.5112,-122.257,2014,65
538000.0,3,2,2570.0,7242.0,2,0.0,0,3,7,2170.0,400.0,1951.0,1991.0,47.721,-122.319,2014,29
180000.0,2,1,770.0,10000.0,1,0.0,0,3,6,770.0,0.0,1933.0,0.0,47.7379,-122.233,2015,87
604000.0,4,3,1960.0,5000.0,1,0.0,0,5,7,1050.0,910.0,1965.0,0.0,47.5208,-122.393,2014,55
510000.0,3,2,1680.0,8080.0,1,0.0,0,3,8,1680.0,0.0,1987.0,0.0,47.6168,-122.045,2015,33
1225000.0,4,4,5420.0,101930.0,1,0.0,0,3,11,3890.0,1530.0,2001.0,0.0,47.6561,-122.005,2014,19
257500.0,3,2,1715.0,6819.0,2,0.0,0,3,7,1715.0,0.0,1995.0,0.0,47.3097,-122.327,2014,25
291850.0,3,1,1060.0,9711.0,1,0.0,0,3,7,1060.0,0.0,1963.0,0.0,47.4095,-122.315,2015,57
229500.0,3,1,1780.0,7470.0,1,0.0,0,3,7,1050.0,730.0,1960.0,0.0,47.5123,-122.337,2015,60
323000.0,3,2,1890.0,6560.0,2,0.0,0,3,7,1890.0,0.0,2003.0,0.0,47.3684,-122.031,2015,17
662500.0,3,2,3560.0,9796.0,1,0.0,0,3,8,1860.0,1700.0,1965.0,0.0,47.6007,-122.145,2015,55
468000.0,2,1,1160.0,6000.0,1,0.0,0,4,7,860.0,300.0,1942.0,0.0,47.69,-122.292,2014,78
310000.0,3,1,1430.0,19901.0,1,0.0,0,4,7,1430.0,0.0,1927.0,0.0,47.7558,-122.229,2014,93
400000.0,3,1,1370.0,9680.0,1,0.0,0,4,7,1370.0,0.0,1977.0,0.0,47.6127,-122.045,2014,43
530000.0,5,2,1810.0,4850.0,1,0.0,0,3,7,1810.0,0.0,1900.0,0.0,47.67,-122.394,2015,120
650000.0,4,3,2950.0,5000.0,2,0.0,3,3,9,1980.0,970.0,1979.0,0.0,47.5714,-122.375,2015,41
395000.0,3,2,1890.0,14040.0,2,0.0,0,3,7,1890.0,0.0,1994.0,0.0,47.7277,-121.962,2014,26
485000.0,4,1,1600.0,4300.0,1,0.0,0,4,7,1600.0,0.0,1916.0,0.0,47.6648,-122.343,2014,104
189000.0,2,1,1200.0,9850.0,1,0.0,0,4,7,1200.0,0.0,1921.0,0.0,47.3089,-122.21,2014,99
230000.0,3,1,1250.0,9774.0,1,0.0,0,4,7,1250.0,0.0,1969.0,0.0,47.3343,-122.306,2015,51
385000.0,4,1,1620.0,4980.0,1,0.0,0,4,7,860.0,760.0,1947.0,0.0,47.7025,-122.341,2014,73
2000000.0,3,2,3050.0,44867.0,1,0.0,4,3,9,2330.0,720.0,1968.0,0.0,47.5316,-122.233,2014,52
285000.0,5,2,2270.0,6300.0,2,0.0,0,3,8,2270.0,0.0,1995.0,0.0,47.3266,-122.169,2014,25
252700.0,2,1,1070.0,9643.0,1,0.0,0,3,7,1070.0,0.0,1985.0,0.0,47.3533,-122.166,2014,35
329000.0,3,2,2450.0,6500.0,2,0.0,0,4,8,2450.0,0.0,1985.0,0.0,47.3739,-122.172,2014,35
233000.0,3,2,1710.0,4697.0,1,0.0,0,5,6,1710.0,0.0,1941.0,0.0,47.3048,-122.218,2014,79
937000.0,3,1,2450.0,2691.0,2,0.0,0,3,8,1750.0,700.0,1915.0,0.0,47.6386,-122.36,2014,105
667000.0,3,1,1400.0,1581.0,1,0.0,0,5,8,1400.0,0.0,1909.0,0.0,47.6221,-122.314,2014,111
438000.0,3,1,1520.0,6380.0,1,0.0,0,3,7,790.0,730.0,1948.0,0.0,47.695,-122.304,2014,72
719000.0,4,2,2570.0,7173.0,2,0.0,0,3,8,2570.0,0.0,2005.0,0.0,47.7073,-122.11,2015,15
580500.0,3,2,2320.0,3980.0,2,0.0,0,3,8,2320.0,0.0,2003.0,0.0,47.5391,-122.07,2014,17
280000.0,2,1,1190.0,1265.0,3,0.0,0,3,7,1190.0,0.0,2005.0,0.0,47.7274,-122.357,2014,15
687500.0,4,1,2330.0,5000.0,1,0.0,0,4,7,1510.0,820.0,1929.0,0.0,47.6823,-122.368,2014,91
535000.0,3,1,1090.0,3000.0,1,0.0,0,4,8,1090.0,0.0,1929.0,0.0,47.6889,-122.375,2014,91
322500.0,4,2,2060.0,6659.0,1,0.0,0,3,7,1280.0,780.0,1981.0,0.0,47.4276,-122.157,2014,39
696000.0,3,2,2300.0,3060.0,1,0.0,0,3,8,1510.0,790.0,1930.0,2002.0,47.6827,-122.31,2014,18
550000.0,4,1,1660.0,34848.0,1,0.0,0,1,5,930.0,730.0,1933.0,0.0,47.6621,-122.132,2014,87
640000.0,4,2,2360.0,6000.0,2,0.0,0,4,8,2360.0,0.0,1904.0,0.0,47.6702,-122.362,2014,116
240000.0,4,1,1220.0,8075.0,1,0.0,0,2,7,890.0,330.0,1969.0,0.0,47.3341,-122.282,2015,51
605000.0,4,2,2620.0,7553.0,2,0.0,0,3,8,2620.0,0.0,1996.0,0.0,47.5301,-122.18,2014,24
625000.0,4,2,2570.0,5520.0,2,0.0,0,3,9,2570.0,0.0,2000.0,0.0,47.6145,-122.027,2014,20
775000.0,4,2,4220.0,24186.0,1,0.0,0,3,8,2600.0,1620.0,1984.0,0.0,47.445,-122.347,2014,36
861990.0,5,2,3595.0,5639.0,2,0.0,0,3,9,3595.0,0.0,2014.0,0.0,47.6848,-122.016,2014,6
685000.0,3,1,1570.0,2280.0,2,0.0,0,3,7,1570.0,0.0,1922.0,0.0,47.6413,-122.364,2014,98
309000.0,3,1,1280.0,9656.0,1,0.0,0,4,6,920.0,360.0,1959.0,0.0,47.4485,-122.175,2014,61
488000.0,3,2,3160.0,13603.0,2,0.0,0,3,8,3160.0,0.0,2003.0,0.0,47.7443,-121.977,2014,17
210490.0,3,1,990.0,8528.0,1,0.0,0,3,6,990.0,0.0,1966.0,0.0,47.3066,-122.371,2015,54
785000.0,4,2,2290.0,13416.0,2,0.0,0,4,9,2290.0,0.0,1981.0,0.0,47.6194,-122.151,2014,39
450000.0,3,1,1250.0,5963.0,1,0.0,0,4,7,1250.0,0.0,1953.0,0.0,47.6796,-122.301,2015,67
1350000.0,3,2,2753.0,65005.0,1,1.0,2,5,9,2165.0,588.0,1953.0,0.0,47.4041,-122.451,2015,67
228000.0,3,1,1190.0,9199.0,1,0.0,0,3,7,1190.0,0.0,1955.0,0.0,47.4258,-122.322,2014,65
345000.0,5,2,3150.0,9134.0,1,0.0,0,4,8,1640.0,1510.0,1966.0,0.0,47.4934,-122.189,2015,54
600000.0,3,1,1410.0,4080.0,1,0.0,0,4,7,1000.0,410.0,1950.0,0.0,47.6808,-122.384,2014,70
585000.0,2,1,1980.0,8550.0,1,0.0,0,3,7,990.0,990.0,1981.0,0.0,47.6989,-122.369,2015,39
920000.0,5,2,2730.0,6000.0,1,0.0,0,3,8,2130.0,600.0,1927.0,0.0,47.6571,-122.281,2015,93
885000.0,4,2,2830.0,5000.0,2,0.0,0,3,9,2830.0,0.0,1995.0,0.0,47.6597,-122.29,2014,25
292500.0,4,2,2250.0,4495.0,2,0.0,0,3,7,2250.0,0.0,2008.0,0.0,47.3663,-122.114,2014,12
301000.0,3,2,2420.0,4750.0,2,0.0,0,3,8,2420.0,0.0,2003.0,0.0,47.3663,-122.122,2015,17
951000.0,5,3,3250.0,14342.0,2,0.0,4,4,8,3250.0,0.0,1968.0,0.0,47.588,-122.116,2014,52
430000.0,4,3,1850.0,9976.0,2,0.0,0,3,8,1850.0,0.0,1991.0,0.0,47.5059,-122.149,2015,29
650000.0,3,2,2150.0,21235.0,1,0.0,3,4,8,1590.0,560.0,1959.0,0.0,47.4336,-122.339,2014,61
289000.0,3,1,1260.0,8400.0,1,0.0,0,3,7,1260.0,0.0,1954.0,0.0,47.4366,-122.335,2014,66
505000.0,3,1,2519.0,8690.0,2,0.0,0,5,8,2519.0,0.0,1973.0,0.0,47.4428,-122.344,2014,47
549000.0,3,1,1540.0,1044.0,3,0.0,0,3,8,1540.0,0.0,2014.0,0.0,47.6765,-122.32,2014,6
425000.0,3,2,1660.0,6000.0,1,0.0,0,3,7,1110.0,550.0,1979.0,0.0,47.6113,-122.297,2014,41
